Date,Name,Amount,Category,Tags,Card,Mine
2022-01-02,Merchant 4,22.57,Gasoline,,Discover It,
2022-01-02,Merchant 3,54.86,Gasoline,,Discover It,
2022-01-03,Merchant 5,16.32,Services,,Discover It,
2022-01-03,Merchant 4,11.04,Restaurants,,USbank Altitude,
2022-01-04,Merchant 6,49.71,Merchandise,,Discover It,
2022-01-04,Merchant 6,2.0,Government Services,,Discover It,
2022-01-09,Merchant 6,8.87,Gasoline,,Discover It,
2022-01-16,Merchant 12,45.34,Merchandise,,Discover It,
2022-01-19,Merchant 13,-953.45,Payments and Credits,,Discover It,
2022-01-19,Merchant 4,-87.05,Gas Stations,,Citi Custom Cash,
2022-01-20,Merchant 9,17.39,Restaurants,,USbank Altitude,
2022-01-21,Merchant 14,38.6,Merchandise,,Discover It,
2022-01-23,Merchant 16,12.44,Merchandise,,Discover It,
2022-01-23,Merchant 18,24.88,Warehouse Clubs,,Discover It,
2022-01-24,Merchant 9,4.51,Restaurants,,USbank Altitude,
2022-01-24,Merchant 19,7.57,Merchandise,,Discover It,
2022-01-26,Merchant 19,37.83,Merchandise,,Discover It,
2022-01-28,Merchant 19,22.1,Restaurants,,Discover It,
2022-02-01,Merchant 10,13.75,Restaurants,,USbank Altitude,
