"Date","Transaction","Name","Memo","Amount"
"2021-12-15","DEBIT","MCDONALD'S F39452      IRVING        TX","24427331348720231469618; 05814; ; ; ;","-9.15"
"2021-12-16","DEBIT","MCDONALD'S F945        ARLINGTON     TX","24427331349720243964415; 05814; ; ; ;","-11.52"
"2021-12-16","DEBIT","54TH STREET 030        EULESS        TX","24789301349626600136783; 05812; ; ; ;","-121.09"
"2021-12-17","DEBIT","POPEYES 2067           DUNCANVILLE   TX","24231681351400000103106; 05814; ; ; ;","-4.32"
"2021-12-20","DEBIT","TST* MARSHALL S BARBEC EMORY         TX","24137461352300608576680; 05812; ; ; ;","-9.74"
"2021-12-23","DEBIT","MCDONALD'S F39452      IRVING        TX","24427331356720235642029; 05814; ; ; ;","-1.72"
"2021-12-24","DEBIT","McDonalds 39452        146-9565264   TX","24793381358000039268720; 05814; ; ; ;","-1.72"
"2021-12-24","DEBIT","CLIFFS DONUTS          IRVING        TX","24755421357273573080592; 05462; ; ; ;","-12.67"
"2021-12-27","DEBIT","RED LOBSTER 0545       NORTH RICHLAN TX","24943001358722715310285; 05812; ; ; ;","-113.61"
"2022-01-03","CREDIT","PAYMENT   THANK YOU","WEB FUTURE; 00300; ; ; ;","304.27"
"2022-01-03","DEBIT","SQ *SUMMER MOON COFFEE Katy          TX","24692162001100601802232; 05814; ; ; ;","-5.95"
"2022-01-03","DEBIT","MCDONALD'S F33245      KATY          TX","24427332001720203135516; 05814; ; ; ;","-8.40"
"2022-01-03","DEBIT","IN N OUT BURGER 349    KATY          TX","24013391365003196052246; 05814; ; ; ;","-11.04"
"2022-01-03","DEBIT","SHELL OIL 54295450032  WEST          TX","24316051365548458709523; 05541; ; ; ;","-5.07"
"2022-01-03","DEBIT","SHARETEA               KATY          TX","24688071365030022063966; 05499; ; ; ;","-6.22"
"2022-01-10","DEBIT","IN N OUT BURGER 262    ARLINGTON     TX","24013392009000782094293; 05814; ; ; ;","-14.18"
"2022-01-10","DEBIT","PAPA JOHN'S #0747      817-483-7777  TX","24445002010000483859911; 05814; ; ; ;","-45.47"
