Trans. Date,Post Date,Description,Amount,Category
01/11/2022,01/11/2022,"SAM'S CLUB 06244 FORT WORTH TX",50.68,"Warehouse Clubs"
01/11/2022,01/11/2022,"WALMART SC 01455 FT WORTH TX",8.91,"Merchandise"
01/11/2022,01/11/2022,"WALMART SC 01455 FT WORTH TX",46.46,"Merchandise"
01/10/2022,01/10/2022,"WALMART.COM AA 800-966-6546 AR",125.46,"Merchandise"
01/10/2022,01/11/2022,"WALMART.COM AA WALMART.COM AR",-1.05,"Payments and Credits"
01/09/2022,01/09/2022,"TEXACO 0376693 IRVING TX00376693 9318720",8.87,"Gasoline"
01/09/2022,01/09/2022,"WALMART.COM AA 800-966-6546 AR",3.02,"Merchandise"
01/04/2022,01/04/2022,"DALLAS VEHREG 214-653-7050 TX",73.25,"Government Services"
01/04/2022,01/04/2022,"TX.GOV*SERVICEFEE-DIR 877-452-9060 TX",2.00,"Government Services"
01/04/2022,01/04/2022,"WALMART.COM AA 800-966-6546 ARWEMSAJI5RFAM",49.71,"Merchandise"
01/03/2022,01/04/2022,"AMAZON.COM*8O1MO6QX3 AMZN.COM/BILLWA3D7OQMUBCC7",230.78,"Merchandise"
01/03/2022,01/04/2022,"PAYPAL *ALIPAYUSINC 402-935-7733 CA",16.32,"Services"
01/02/2022,01/04/2022,"BUC-EE'S #40 KATY TX00297R",6.56,"Gasoline"
01/02/2022,01/04/2022,"SHELL54295450032 HOUSTON TX",22.57,"Gasoline"
