Trans. Date,Post Date,Description,Amount,Category
01/02/2022,01/02/2022,"INTERNET PAYMENT - THANK YOU",-612.09,"Payments and Credits"
01/02/2022,01/02/2022,"Transaction31",10.14,"Merchandise"
01/02/2022,01/02/2022,"Transaction32",54.86,"Gasoline"
01/01/2022,01/01/2022,"Transaction33",38.75,"Gasoline"
01/01/2022,01/01/2022,"Transaction34",15.07,"Supermarkets"
01/01/2022,01/02/2022,"Transaction35",-32.46,"Payments and Credits"
12/31/2021,12/31/2021,"Transaction36",30.30,"Merchandise"
12/31/2021,12/31/2021,"Transaction37",12.54,"Merchandise"
12/31/2021,12/31/2021,"Transaction38",10.74,"Merchandise"
12/30/2021,12/30/2021,"Transaction39",29.74,"Merchandise"
12/30/2021,12/30/2021,"Transaction40",4.78,"Supermarkets"
12/30/2021,12/30/2021,"Transaction41",21.99,"Gasoline"
12/30/2021,12/30/2021,"Transaction42",48.70,"Gasoline"
12/29/2021,12/29/2021,"Transaction43",5.41,"Merchandise"
12/29/2021,12/30/2021,"Transaction44",-41.72,"Payments and Credits"
12/29/2021,12/30/2021,"Transaction45",-6.48,"Payments and Credits"
12/28/2021,12/28/2021,"Transaction46",15.48,"Merchandise"
12/27/2021,12/27/2021,"Transaction47",43.29,"Merchandise"
12/27/2021,12/27/2021,"Transaction48",20.51,"Merchandise"
12/26/2021,12/26/2021,"Transaction49",14.19,"Warehouse Clubs"
12/26/2021,12/26/2021,"Transaction49",73.40,"Merchandise"
12/26/2021,12/26/2021,"Transaction50",82.48,"Merchandise"
12/25/2021,12/25/2021,"Transaction51",130.00,"Services"
12/24/2021,12/24/2021,"INTERNET PAYMENT - THANK YOU",-680.84,"Payments and Credits"
12/23/2021,12/23/2021,"Transaction52",437.93,"Travel/ Entertainment"
12/23/2021,12/23/2021,"Transaction53",62.24,"Merchandise"
12/23/2021,12/23/2021,"Transaction54",29.44,"Gasoline"
12/22/2021,12/22/2021,"Transaction55",16.96,"Merchandise"
12/22/2021,12/22/2021,"Transaction56",14.45,"Merchandise"
12/22/2021,12/22/2021,"Transaction57",26.93,"Merchandise"
12/22/2021,12/22/2021,"Transaction58",44.84,"Merchandise"
12/22/2021,12/22/2021,"INTERNET PAYMENT - THANK YOU",-186.52,"Payments and Credits"
12/22/2021,12/22/2021,"Transaction59",43.27,"Home Improvement"
12/21/2021,12/21/2021,"Transaction60",54.11,"Merchandise"
12/21/2021,12/21/2021,"Transaction61",42.35,"Merchandise"
12/18/2021,12/18/2021,"Transaction62",70.88,"Merchandise"
12/15/2021,12/15/2021,"Transaction63",44.74,"Gasoline"
12/15/2021,12/15/2021,"Transaction64",9.78,"Gasoline"
12/15/2021,12/15/2021,"Transaction65",2.79,"Merchandise"
12/14/2021,12/14/2021,"Transaction66",55.96,"Merchandise"
12/13/2021,12/13/2021,"INTERNET PAYMENT - THANK YOU",-932.85,"Payments and Credits"
12/12/2021,12/12/2021,"Transaction67",59.82,"Merchandise"
12/12/2021,12/12/2021,"Transaction68",13.43,"Gasoline"
12/10/2021,12/10/2021,"Transaction69",70.08,"Merchandise"
12/10/2021,12/10/2021,"Transaction70",73.95,"Merchandise"
12/09/2021,12/09/2021,"Transaction71",37.24,"Gasoline"
12/06/2021,12/06/2021,"Transaction72",16.42,"Merchandise"
12/05/2021,12/05/2021,"Transaction73",71.94,"Supermarkets"
12/03/2021,12/04/2021,"Transaction74",1.87,"Merchandise"
12/02/2021,12/04/2021,"Transaction75",66.63,"Merchandise"
